candidate_id,candidate_global_id,source_status,ifc_status_candidate,pdf_page,pdf_rect_index,paper_x0_pt,paper_top_pt,paper_x1_pt,paper_bottom_pt,raw_x_min_mm,raw_y_min_mm,raw_x_max_mm,raw_y_max_mm,candidate_x_min_mm,candidate_y_min_mm,candidate_x_max_mm,candidate_y_max_mm,candidate_z_min_mm,candidate_z_max_mm,nominal_length_mm,nominal_thickness_mm,maximum_edge_inference_mm,basis,confidence,review_required,review_status,formal_ifc_write_allowed,pdf_sha256,dwg_sha256
D01,0nlHIdaVrV7xIKsYXraYCa,ALREADY_REMOVED,DEMOLISH,1,191,445.965,454.99,482.996,459.849,-6488.03423947149,31.318824478446356,-5811.845595175297,120.04958124831948,-6500.0,0.0,-5800.0,100.0,0.0,3000.0,700.0,100.0,31.318824478446356,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.75,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D02,37DwA_fpXSARFOa60IfK8k,ALREADY_REMOVED,DEMOLISH,1,192,446.004,520.66,478.035,525.519,-6487.322096749781,-1167.8885838519907,-5902.433801390451,-1079.1578270821165,-6500.0,-1200.0,-5900.0,-1100.0,0.0,3000.0,600.0,100.0,32.11141614800931,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.75,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D03,28axnJOc1KaeA2jTdv5tk4,ALREADY_REMOVED,DEMOLISH,1,193,532.96,519.888,573.961,525.552,-4899.499468319013,-1168.4912006400966,-4150.818346966952,-1065.0602464634014,-4900.0,-1150.0,-4150.0,-1050.0,0.0,3000.0,750.0,100.0,18.491200640096622,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.85,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D04,1s0ElI6BnG6xHZgQ37OOHr,ALREADY_REMOVED,DEMOLISH,1,194,623.332,519.946,640.348,526.055,-3249.3004414945826,-1177.6765413800101,-2938.587093992652,-1066.119391121284,-3250.0,-1150.0,-2950.0,-1050.0,0.0,3000.0,300.0,100.0,27.67654138001012,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.7,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D05,0LGnQmHPDT5P1L4FD30GWT,ALREADY_REMOVED,DEMOLISH,1,195,689.48,520.155,790.48,526.265,-2041.4333451994628,-1181.5113754861384,-197.16629667483562,-1069.9359641126196,-2050.0,-1150.0,-200.0,-1050.0,0.0,3000.0,1850.0,100.0,31.511375486138377,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.75,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D06,11VsxE48XUhxS_l7yPUfeN,ALREADY_REMOVED,DEMOLISH,1,196,1069.208,443.235,1124.192,449.345,4892.426435019941,223.13357424398407,5896.438112208832,334.70898561750295,4900.0,250.0,5900.0,350.0,0.0,3000.0,1000.0,100.0,26.86642575601593,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.65,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D07,3Q5pOfhDvQsfsYufTtPS8u,ALREADY_REMOVED,DEMOLISH,1,197,1008.657,443.235,1019.743,449.345,3786.760949324745,223.13357424398407,3989.192082987557,334.70898561750295,3800.0,250.0,4000.0,350.0,0.0,3000.0,200.0,100.0,26.86642575601593,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.65,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D08,1zX6DiGXjV2PeHHkTz230u,ALREADY_REMOVED,DEMOLISH,1,198,625.967,526.564,637.052,623.556,-3201.185157604856,-2958.153494625419,-2998.772284011831,-1186.9714488086718,-3200.0,-3000.0,-3000.0,-1200.0,0.0,3000.0,1800.0,200.0,41.84650537458083,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.9,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D09,04rQahsKnVWAQm005VLUaQ,ALREADY_REMOVED,DEMOLISH,1,199,790.677,520.91,801.764,661.91,-193.56906292672318,-3658.540291322625,8.880330805876065,-1083.7231057798872,-200.0,-3700.0,0.0,-1100.0,0.0,3000.0,2600.0,200.0,41.45970867737515,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.9,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
D10,18mq2JXA1GaOLupE0pkNjZ,ALREADY_REMOVED,DEMOLISH,1,200,565.108,460.106,572.092,519.114,-4312.474744794563,-1050.926143615103,-4184.946417399552,26.62571797713787,-4300.0,-1050.0,-4200.0,0.0,0.0,3000.0,1050.0,100.0,26.62571797713787,hash-verified PDF vector rectangle; 14 Grid anchors; 50 mm nominal review grid; DWG handover base hash recorded,0.75,yes,pending,no,84a18d211fe8e6c3e05f56b35027a96799d7c54cd4bc75cd602c72f65ea327f0,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e
