global_id,name,object_type,type_name,type_predefined_type,occurrence_predefined_type,materials,current_status,current_load_bearing,candidate_status,basis,confidence,review_required,visible_in_wall_plan,min_x_mm,min_y_mm,min_z_mm,max_x_mm,max_y_mm,max_z_mm,size_x_mm,size_y_mm,size_z_mm,source_ifc_sha256
0$9uFhN9v7tw5pryslitkb,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,0.000000,3200.000000,0.000000,3200.000000,3400.000000,3000.000000,3200.000000,200.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
04rs0EDjn2EvxytEQSxWRB,Wall,,WAL170,PARTITIONING,,Unknown,NEW,,CONFIRMED_NEW,IFC Pset_WallCommon.Status=NEW,1.0,no,True,-6500.000000,-70.000000,0.000000,-6020.000000,100.000000,2480.000000,480.000000,170.000000,2480.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
05LSYayab3n9CDi01pw9K$,Wall,,WAL200B,SHEAR,,Concrete,EXISTING,True,CONFIRMED_EXISTING_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=true; user-confirmed blue-gray group,1.0,no,True,-6700.000000,-4200.000000,0.000000,-6500.000000,-1100.000000,3000.000000,200.000000,3100.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0LbcMYbS508RMhWL3dk51Z,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,False,-4899.987000,3399.999990,2450.014893,-4699.990082,4000.005021,2750.010818,199.996917,600.005031,299.995926,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0WeXy0Nt55NxHgOrArxZd8,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-1900.000000,3200.000000,580.000000,-1700.000000,4000.000000,2480.000000,200.000000,800.000000,1900.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0a6glteMX7_x6fU36rB7Xa,Wall,,WAL100,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-1900.000000,200.000000,0.000000,-1800.000000,3200.000000,2600.000000,100.000000,3000.000000,2600.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0ekISWRMjETQVsONKhC0oM,Wall,,WAL200S,SOLIDWALL,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-6300.000462,2600.000000,580.000000,-6100.000000,2800.000462,2480.000000,200.000462,200.000462,1900.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0hKdvAZkn1TejLgJhK_vDp,Wall,,WAL100,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-1800.000000,1273.000000,0.000000,-200.000000,1373.000000,2870.000000,1600.000000,100.000000,2870.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0jLabLY_9C18Pu7tVszuIs,Wall,,WAL200B,SHEAR,,Concrete,EXISTING,True,CONFIRMED_EXISTING_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=true; user-confirmed blue-gray group,1.0,no,True,3200.000000,3200.000000,0.000000,4000.000000,3400.000000,3000.000000,800.000000,200.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0jhVMe5nn9b8xNJphVwucj,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-3000.000000,-5200.000000,650.000000,-200.000000,-5000.000000,2450.000000,2800.000000,200.000000,1800.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0nNkP2k99BqQJilK0$E7fQ,Wall,,WAL200B,SHEAR,,Concrete,EXISTING,True,CONFIRMED_EXISTING_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=true; user-confirmed blue-gray group,1.0,no,True,3200.000000,-1600.000000,0.000000,6700.000000,-1400.000000,3000.000000,3500.000000,200.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0qZZv8B9b9SQk3mAPTXSfP,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-6749.982300,-5250.000000,447.000000,-6499.987316,-4599.949958,647.000000,249.994984,650.050042,200.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0rj$xpoALDGQ3T1Tw9NAOA,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-5250.000000,2800.000000,580.000000,-5050.000000,3200.000000,2480.000000,200.000000,400.000000,1900.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
0vMU_9TZXEV8GPr46AYxhu,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,False,-3000.000000,-5199.987000,2450.014893,-200.000000,-4400.000000,3000.013721,2800.000000,799.987000,549.998828,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
122leYIbHFFBi0YE3uzZDV,Wall,,BWW03,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-6300.000000,2600.000000,0.000000,-5050.000000,3450.020386,680.000000,1250.000000,850.020386,680.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
