candidate_id,candidate_tag,ifc_class,global_id,name,current_tag,current_predefined_type,candidate_predefined_type,container_name,host_relation,opening_global_id,host_wall_global_id,nominal_width_mm,nominal_height_mm,operation_type,width_axis,opening_width_mm,opening_height_mm,opening_width_delta_mm,opening_height_delta_mm,geometry_relation_pass,center_x_mm,center_y_mm,sill_or_threshold_z_mm,space_candidates,basis,confidence,review_group,review_required,review_question,formal_ifc_write_allowed,source_ifc_sha256
M01,M01,IfcDoor,0KYkZzyYj4leM7EZCh3ZYW,Door,M01,,DOOR,FFL,HOSTED,19Jx19g352yuWGp5TspuRX,0$9uFhN9v7tw5pryslitkb,1465,2240,SLIDING_TO_LEFT,X,1465.003147,2240.000000,0.003147,0.000000,true,952.499921,3275.501627,0.000000,客厅; 阳台,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
M02,M02,IfcDoor,0KtzVrwAn5aBZMFpM3Ygkt,Door,M02,,DOOR,FFL,HOSTED,1AE4QyxDH6BRMS5YYdgZtv,0$9uFhN9v7tw5pryslitkb,1465,2240,SLIDING_TO_LEFT,X,1465.001249,2240.000000,0.001249,0.000000,true,2417.500017,3275.499035,0.000000,客厅; 阳台,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
M03,M03,IfcDoor,1To6gRjrf2nBU5GQuuD8FV,Door,M03,,DOOR,FFL,HOSTED,1YxMx6s0r3ZPPohkRKXWbl,0hKdvAZkn1TejLgJhK_vDp,800,2000,SINGLE_SWING_RIGHT,X,800.000000,2000.000000,0.000000,0.000000,true,-724.925890,1330.500000,0.000000,客卫; 客卫干区,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
M04,M04,IfcDoor,3xKBbA2CT9mfby2$MODnzM,次卧门,M04,,DOOR,FFL,HOSTED,1PrWPEGF52deATqDqovfvh,0a6glteMX7_x6fU36rB7Xa,900,2000,SINGLE_SWING_LEFT,Y,900.000000,2000.000000,0.000000,0.000000,true,-1857.500000,727.000000,0.000000,客卫干区; 次卧,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
M05,M05,IfcDoor,2D5BPoo2XFSvhTdfPenCh7,Rimadesio Sail 格栅门板,M05,,DOOR,BATHM,UNHOSTED,,,,,,X,,,,,false,-4535.281658,-34.782410,12.000000,主卧入口; 次卧,product world geometry + spatial container only; no host inferred,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
M06,M06,IfcDoor,0zjVS5FBbBewgUkk0fdfiv,Rimadesio Sail 轨道,M06,,DOOR,BATHM,UNHOSTED,,,,,,X,,,,,false,-4635.281658,-34.783386,2407.699912,主卧入口; 次卧,product world geometry + spatial container only; no host inferred,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
M07,M07,IfcDoor,1TW6$_GfnABRZusYvx0zZG,主卧门,M07,,DOOR,BEDM,UNHOSTED,,,,,,Y,,,,,false,-2853.214489,-478.305607,16.058349,主卧入口,product world geometry + spatial container only; no host inferred,1.00,A104-R03,yes,M07 主卧门缺少宿主洞口且 OperationType=NOTDEFINED；须依据官方 CAD、门表或现场开门照片确认合页侧、开启方向和门后占墙，再关闭 E-302 Master A/B。,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
M08,M08,IfcDoor,2dxcvMre5F6fk90OTXSFJH,Door,M08,,DOOR,FFL,HOSTED,3Gwmd8ICD7KAQYLPfmHbh5,2Hzb2UxozCF9TjOK5nW1XC,900,2000,SINGLE_SWING_LEFT,Y,900.000000,2000.000000,0.000000,0.000000,true,5957.500000,-575.000000,0.000000,玄关,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
W01,W01,IfcWindow,2lLDddG5f06Q_oQZwIEaZ8,Window.003,W01,,WINDOW,FFL,HOSTED,2Jw$BLswvDfRLGCb8hHbA9,2QGNuB0B16IeBRoltmvWce,640,1730,DOUBLE_PANEL_HORIZONTAL,X,640.000000,1730.000000,0.000000,0.000000,true,-1100.000000,3903.000000,704.000000,客卫飘窗,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
W02,W02,IfcWindow,2nisU4bAr9MfEP9b7LwE2g,Window.008,W02,,WINDOW,FFL,HOSTED,1$HluY4cP3ag9tk6OxCxvN,3I1CMx2brDHRAqSOCI6eq6,1180,1780,TRIPLE_PANEL_RIGHT,X,1180.000000,1780.000000,0.000000,0.000000,true,-3590.000000,3900.000000,670.000000,次卧飘窗,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,,no,,no,08792988e80454d24d8b5c4f4cf1cb1d7b6225552b0c6785fc692c40dac99ab0
