candidate_id,global_id,name,current_tag,material,kind,container,primary_space,primary_space_overlap_ratio,space_overlaps,bbox,top_plane,confirmed_material,review_group,review_required,review_question,basis,confidence,formal_ifc_write_allowed
F01,13bntpeVvD48VefEcWQ_CL,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHG,客卫,0.5108465212384152,"[{""global_id"":""3bF9ub5u5FFgmXQtSgfWnW"",""long_name"":""客卫"",""overlap_area_mm2"":327009.4387483704,""covering_overlap_ratio"":0.5108465212384152},{""global_id"":""3I284j2FzFG9RguqlzYOH2"",""long_name"":""客卫飘窗"",""overlap_area_mm2"":313123.01816964947,""covering_overlap_ratio"":0.4891534787615841}]","{""min_mm"":[-1799.8986482620203,2891.238201564537,-22.645194107175595],""max_mm"":[-999.8986482620201,3691.403772712062,5.73113470067239],""dimensions_mm"":[800.0000000000002,800.165571147525,28.376328807847983],""centre_mm"":[-1399.8986482620203,3291.3209871382996,-8.457029703251603]}","{""point_count"":4,""a_dz_dx"":1.5058510081994842e-17,""b_dz_dy"":0.010472355980666564,""c_mm"":-32.92436639069085,""slope_percent"":1.0472355980666563,""downhill_direction"":""S"",""top_min_z_mm"":-2.646290719,""top_max_z_mm"":5.731134701,""maximum_fit_residual_mm"":8.881784197001252e-15}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F02,3wm6Ng2YT52BiRfqPP7E4N,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHG,客卫,0.5108465212384152,"[{""global_id"":""3bF9ub5u5FFgmXQtSgfWnW"",""long_name"":""客卫"",""overlap_area_mm2"":327009.4387483704,""covering_overlap_ratio"":0.5108465212384152},{""global_id"":""3I284j2FzFG9RguqlzYOH2"",""long_name"":""客卫飘窗"",""overlap_area_mm2"":313123.01816964947,""covering_overlap_ratio"":0.4891534787615841}]","{""min_mm"":[-997.8985428810121,2891.238201564537,-22.645194107175595],""max_mm"":[-197.89854288101182,3691.403772712062,5.73113470067239],""dimensions_mm"":[800.0000000000002,800.165571147525,28.376328807847983],""centre_mm"":[-597.898542881012,3291.3209871382996,-8.457029703251603]}","{""point_count"":4,""a_dz_dx"":9.141945879649724e-18,""b_dz_dy"":0.010472355980666558,""c_mm"":-32.924366390690835,""slope_percent"":1.0472355980666557,""downhill_direction"":""S"",""top_min_z_mm"":-2.646290719,""top_max_z_mm"":5.731134701,""maximum_fit_residual_mm"":1.5987211554602254e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F03,3k9cT8nxj3o8yzLjoQc_Yt,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,客卫,1.0,"[{""global_id"":""3bF9ub5u5FFgmXQtSgfWnW"",""long_name"":""客卫"",""overlap_area_mm2"":560528.9108902288,""covering_overlap_ratio"":1.0}]","{""min_mm"":[-1799.8990058898903,2188.787411015858,-30.00152467540824],""max_mm"":[-999.8990058897821,2889.4485496285947,-2.667241702409683],""dimensions_mm"":[800.0000000001082,700.6611386127365,27.334282972998558],""centre_mm"":[-1399.8990058898362,2539.1179803222267,-16.334383188908962]}","{""point_count"":4,""a_dz_dx"":-6.249961246881387e-12,""b_dz_dy"":0.010472355980896055,""c_mm"":-32.924382228912705,""slope_percent"":1.0472355980896055,""downhill_direction"":""S"",""top_min_z_mm"":-10.002621288,""top_max_z_mm"":-2.667241702,""maximum_fit_residual_mm"":3.68594044175552e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F04,0AN5MRpZ16dRCAg1l5TOyz,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,客卫,1.0,"[{""global_id"":""3bF9ub5u5FFgmXQtSgfWnW"",""long_name"":""客卫"",""overlap_area_mm2"":560528.9108902288,""covering_overlap_ratio"":1.0}]","{""min_mm"":[-997.8989601135253,2188.787411015858,-30.00152467540824],""max_mm"":[-197.89896011341708,2889.4485496285947,-2.667241702409683],""dimensions_mm"":[800.0000000001082,700.6611386127365,27.334282972998558],""centre_mm"":[-597.8989601134712,2539.1179803222267,-16.334383188908962]}","{""point_count"":4,""a_dz_dx"":-6.249972136513663e-12,""b_dz_dy"":0.010472355980896055,""c_mm"":-32.92438222390025,""slope_percent"":1.0472355980896055,""downhill_direction"":""S"",""top_min_z_mm"":-10.002621288,""top_max_z_mm"":-2.667241702,""maximum_fit_residual_mm"":2.2648549702353193e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F05,0gTPiPQhvFcumlS52PtTnD,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,0.9973639908800396,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":638445.061940873,""covering_overlap_ratio"":0.9973639908800396},{""global_id"":""2QIFZrZIr8GQwOQOo0KVFP"",""long_name"":""主卫湿区飘窗"",""overlap_area_mm2"":1687.3949944641954,""covering_overlap_ratio"":0.002636009119960382}]","{""min_mm"":[-6499.812507629391,1901.9436725739097,-38.77925577143636],""max_mm"":[-5699.81250762939,2702.1092437430802,-10.402925474026729],""dimensions_mm"":[800.0000000000009,800.1655711691706,28.37633029740963],""centre_mm"":[-6099.812507629391,2302.026458158495,-24.591090622731546]}","{""point_count"":4,""a_dz_dx"":-3.572152206652866e-18,""b_dz_dy"":0.010472357843478145,""c_mm"":-38.69818712133397,""slope_percent"":1.0472357843478144,""downhill_direction"":""S"",""top_min_z_mm"":-18.780352384,""top_max_z_mm"":-10.402925474,""maximum_fit_residual_mm"":7.105427357601002e-15}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F06,1exwKOUpD1tO93c2_9MojK,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,0.9973639908800397,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":638445.0619408723,""covering_overlap_ratio"":0.9973639908800397},{""global_id"":""2QIFZrZIr8GQwOQOo0KVFP"",""long_name"":""主卫湿区飘窗"",""overlap_area_mm2"":1687.3949944641936,""covering_overlap_ratio"":0.0026360091199603823}]","{""min_mm"":[-5697.81246185303,1901.9436725739097,-38.77925577143636],""max_mm"":[-4897.81246185303,2702.1092437430802,-10.402925474026729],""dimensions_mm"":[800.0,800.1655711691706,28.37633029740963],""centre_mm"":[-5297.81246185303,2302.026458158495,-24.591090622731546]}","{""point_count"":4,""a_dz_dx"":4.713205773499871e-18,""b_dz_dy"":0.010472357843478155,""c_mm"":-38.698187121333966,""slope_percent"":1.0472357843478155,""downhill_direction"":""S"",""top_min_z_mm"":-18.780352384,""top_max_z_mm"":-10.402925474,""maximum_fit_residual_mm"":1.4210854715202004e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F07,38mTGSlgvAK8S$ghNqax$m,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,客卫,0.9999999999999998,"[{""global_id"":""3bF9ub5u5FFgmXQtSgfWnW"",""long_name"":""客卫"",""overlap_area_mm2"":79755.12776222876,""covering_overlap_ratio"":0.9999999999999998}]","{""min_mm"":[-1799.8990058899155,2074.493501313065,-29.834876906720282],""max_mm"":[-999.89900588989,2174.187411015858,-8.794136506390535],""dimensions_mm"":[800.0000000000256,99.69390970279301,21.040740400329746],""centre_mm"":[-1399.8990058899028,2124.340456164461,-19.31450670655541]}","{""point_count"":4,""a_dz_dx"":1.2500119213538177e-12,""b_dz_dy"":-0.010472357844359011,""c_mm"":12.932895072109906,""slope_percent"":1.047235784435901,""downhill_direction"":""N"",""top_min_z_mm"":-9.835973519,""top_max_z_mm"":-8.794136506,""maximum_fit_residual_mm"":8.881784197001252e-15}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F08,1CcaP1Bo53phkUAss7qLPT,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,客卫,1.0000000000000002,"[{""global_id"":""3bF9ub5u5FFgmXQtSgfWnW"",""long_name"":""客卫"",""overlap_area_mm2"":79755.12776222876,""covering_overlap_ratio"":1.0000000000000002}]","{""min_mm"":[-997.8989601135504,2074.493501313065,-29.834876906720282],""max_mm"":[-197.89896011352494,2174.187411015858,-8.794136506390535],""dimensions_mm"":[800.0000000000255,99.69390970279301,21.040740400329746],""centre_mm"":[-597.8989601135377,2124.340456164461,-19.31450670655541]}","{""point_count"":4,""a_dz_dx"":1.1492840451946896e-12,""b_dz_dy"":-0.010472357844388607,""c_mm"":12.932895071107307,""slope_percent"":1.0472357844388607,""downhill_direction"":""N"",""top_min_z_mm"":-9.835973519,""top_max_z_mm"":-8.794136506,""maximum_fit_residual_mm"":4.4501291540655075e-11}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F09,2dEG2g8YT6te1$zV2kUnlv,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,1.0,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":79755.2231171153,""covering_overlap_ratio"":1.0}]","{""min_mm"":[-6499.812507629391,1800.4591572981665,-39.842039801536245],""max_mm"":[-5699.81250762939,1900.1531861945605,-18.801298153975527],""dimensions_mm"":[800.0000000000009,99.694028896394,21.04074164756072],""centre_mm"":[-6099.812507629391,1850.3061717463634,-29.321668977755884]}","{""point_count"":4,""a_dz_dx"":-4.952326038954992e-18,""b_dz_dy"":0.010472357841924193,""c_mm"":-38.69818898899396,""slope_percent"":1.0472357841924194,""downhill_direction"":""S"",""top_min_z_mm"":-19.843136414,""top_max_z_mm"":-18.801298154,""maximum_fit_residual_mm"":7.105427357601002e-15}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F10,18Hiw4PZP4rQrmw23BQQys,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,1.0,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":79755.22311711521,""covering_overlap_ratio"":1.0}]","{""min_mm"":[-5697.81246185303,1800.4591572981665,-39.842039801536245],""max_mm"":[-4897.81246185303,1900.1531861945605,-18.801298153975527],""dimensions_mm"":[800.0,99.694028896394,21.04074164756072],""centre_mm"":[-5297.81246185303,1850.3061717463634,-29.321668977755884]}","{""point_count"":4,""a_dz_dx"":5.696950478263811e-18,""b_dz_dy"":0.010472357841924256,""c_mm"":-38.69818898899403,""slope_percent"":1.0472357841924256,""downhill_direction"":""S"",""top_min_z_mm"":-19.843136414,""top_max_z_mm"":-18.801298154,""maximum_fit_residual_mm"":1.7763568394002505e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
