expected_class,global_id,target_x_mm,target_y_mm,target_z_mm,anchor_kind,basis,confidence
IfcCovering,1jk9p3i1v2xhSPmLARzMx6,4260,3180,2670,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 30 mm 模度,1.00
IfcCovering,1B31tDdtb44Qsxujotw2IW,5458,3791,550,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 1 mm 模度,1.00
IfcCovering,2xsQvORMH4Lft5PawZ3Bxu,-200,-3700,100,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 100 mm 模度,1.00
IfcCovering,3bMoS7bIT8wBmjqRvdPunu,-4100,0,100,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 100 mm 模度,1.00
IfcCovering,0e9HFLi6fDsggZSSJA6Gql,4205,3585,550,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 1 mm 模度,1.00
IfcCovering,0lEIp09tr5ZuFmvjzO7$J1,6100,3500,550,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 50 mm 模度,1.00
IfcCovering,1Rer6n0zzDt8foqeHXkkaW,6500,1100,100,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 100 mm 模度,1.00
IfcCovering,2qiNDus8b1E8_iEcJ9_3vy,6040,320,100,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 20 mm 模度,1.00
IfcCovering,39ssagG3n08RmEGQ8p0HPN,3200,-2400,2400,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 100 mm 模度,1.00
IfcCovering,1ctPQ0Vy1A7eZAunjbq1uO,-5440,-4380,100,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 20 mm 模度,1.00
IfcCovering,1BhRwhm0bEkQ2IBfLxzE6A,-2910,210,2400,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 30 mm 模度,1.00
IfcCovering,07lGLYz1D67eFJrS1THits,-3000,3200,100,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 100 mm 模度,1.00
IfcCovering,3mlT3vP4P1MwwtT7Mb20tc,-1620,1260,0,integer_point_on_axis_aligned_surface,目标位于既有轴向渲染施工表面并采用 30 mm 模度,1.00
