expected_class,global_id,target_x_mm,target_y_mm,target_z_mm,anchor_kind,basis,confidence
IfcCovering,2AaE1g$kT9yuXagzwxD3_j,-3000,-4380,100,integer_point_on_physical_axis_edge,现有非三角化轴向物理边上的 20 mm 模度点,1.00
IfcCovering,1QkVJsQDf6keIyddhN5Dmc,10,30,2400,integer_point_on_physical_axis_edge,现有非三角化轴向物理边上的整数毫米点,1.00
IfcCovering,2jK2g2$tb18Qu3jsAzqyh_,-100,0,100,integer_point_on_physical_axis_edge,现有非三角化轴向物理边上的 100 mm 模度点,1.00
IfcCovering,3oAf0JDwfAShSvvBwPp47s,-3200,-3700,100,integer_point_on_physical_axis_edge,现有非三角化轴向物理边上的 100 mm 模度点,1.00
IfcCovering,0Zj4PLnNL4cf8r6tIGeEt0,-1900,3400,2450,integer_point_on_physical_axis_edge,现有非三角化轴向物理边上的 50 mm 模度点,1.00
IfcCovering,0W2w5NSMDCUBk0iq3RkfNL,-4700,3200,2650,rounded_existing_vertex,目标距现有三角化顶点不超过 0.01 mm且采用 50 mm 模度,1.00
IfcCovering,02JiVqnyTDXQ1GpfLPCpMl,4,-970,2680,integer_point_on_physical_axis_edge,现有非三角化轴向物理边上的整数毫米点,1.00
IfcCovering,1xL$8my_jFu9Ab0a91HUA2,-660,3180,2400,integer_point_on_physical_axis_edge,现有非三角化轴向物理边上的 30 mm 模度点,1.00
IfcCovering,3k9cT8nxj3o8yzLjoQc_Yt,-1400,2189,-30,integer_point_on_physical_axis_edge,现有 FLOORING 物理边上的整数毫米点,1.00
IfcCovering,0AN5MRpZ16dRCAg1l5TOyz,-598,2189,-30,integer_point_on_physical_axis_edge,现有 FLOORING 物理边上的整数毫米点,1.00
