view_id,sheet_id,official_title,anchor_id,direction,source_handle,source_viewport_handle,source_scale,source_anchor_handle,source_x_mm,source_y_mm,ifc_x_mm,ifc_y_mm,space_reference,space_global_id,review_status,source_locator,direction_block,duplicate_source_handles,anchor_method,scope_exclusion
01,EL-01,客餐厅立面图,A1,+Y,243CB7,243CB4,1:50@A2,243CB7,126967.662,-49873.101,-2285.579,127.511,R14 次卧,0WyQ2Z9pX5qgwfdTOZwAkw,review_required_current_space_differs_from_official_title,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243CB7 > resolved leader target A1; 02 DWG > EL-01 客餐厅立面图,*U517,,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
02,EL-01,客餐厅立面图,A2,+Y,243C78,243CB4,1:50@A2,243C70,131074.203,-49373.632,1820.962,626.980,R20 客厅,2wgBPVUpv2DvcZCfbe6fdv,mapped_to_current_space,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243C78 > resolved leader target A2; 02 DWG > EL-01 客餐厅立面图,*U517,24415B,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
03,EL-01,客餐厅立面图,A2,+X,243C87,243CB4,1:50@A2,243C70,131074.203,-49373.632,1820.962,626.980,R20 客厅,2wgBPVUpv2DvcZCfbe6fdv,mapped_to_current_space,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243C87 > resolved leader target A2; 02 DWG > EL-01 客餐厅立面图,*U518,24416A,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
04,EL-02,客餐厅立面图,A2,-Y,243C96,243CB4,1:50@A2,243C70,131074.203,-49373.632,1820.962,626.980,R20 客厅,2wgBPVUpv2DvcZCfbe6fdv,mapped_to_current_space,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243C96 > resolved leader target A2; 02 DWG > EL-02 客餐厅立面图,*U516,244179,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
05,EL-02,客餐厅立面图,A2,-X,243CA5,243CB4,1:50@A2,243C70,131074.203,-49373.632,1820.962,626.980,R20 客厅,2wgBPVUpv2DvcZCfbe6fdv,mapped_to_current_space,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243CA5 > resolved leader target A2; 02 DWG > EL-02 客餐厅立面图,*U519,244188,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
06,EL-03,厨房立面图,A3,+Y,243CCE,243CB4,1:50@A2,243CC6,131074.203,-54241.016,1820.962,-4240.404,R04 中厨,2fhEbDfK1EkhJwlPikNm$b,mapped_to_current_space,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243CCE > resolved leader target A3; 02 DWG > EL-03 厨房立面图,*U517,,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
07,EL-03,厨房立面图,A3,+X,243CDD,243CB4,1:50@A2,243CC6,131074.203,-54241.016,1820.962,-4240.404,R04 中厨,2fhEbDfK1EkhJwlPikNm$b,mapped_to_current_space,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243CDD > resolved leader target A3; 02 DWG > EL-03 厨房立面图,*U518,,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
08,EL-03,厨房立面图,A3,-Y,243CEC,243CB4,1:50@A2,243CC6,131074.203,-54241.016,1820.962,-4240.404,R04 中厨,2fhEbDfK1EkhJwlPikNm$b,mapped_to_current_space,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243CEC > resolved leader target A3; 02 DWG > EL-03 厨房立面图,*U516,,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
09,EL-03,厨房立面图,A3,-X,243CFB,243CB4,1:50@A2,243CC6,131074.203,-54241.016,1820.962,-4240.404,R04 中厨,2fhEbDfK1EkhJwlPikNm$b,mapped_to_current_space,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243CFB > resolved leader target A3; 02 DWG > EL-03 厨房立面图,*U519,,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
10,EL-04,次卧一立面图,A4,+Y,243D12,243CB4,1:50@A2,243D0A,127587.878,-53173.679,-1665.364,-3173.067,R07 餐厅,2JnxeB$or6D8nffRg7GQbf,review_required_current_space_differs_from_official_title,01 DWG > KP-01 立面索引图 > VIEWPORT #243CB4 > INSERT #243D12 > resolved leader target A4; 02 DWG > EL-04 次卧一立面图,*U517,,resolved_leader_or_arrow_target_not_marker_circle,I-503/玄关：01 DWG立面索引未发现官方视图；不得伪称来自DWG
