segment_id,covering_global_id,axis,constant_mm,start_mm,end_mm,space_global_ids,space_long_names,candidate_finish_code,candidate_finish,review_required,status,formal_ifc_write_allowed
WFIN-S001,1nl6eDw2H0gwKgR3NLW4h6,Y,3190.19769668579,-5199.8387336731,-3849.8387336731003,2fhEbDfK1EkhJwlPikNm$b,中厨,KITCHEN_SLAB_SHELF_SCHEME,VVD Travertino titan marble 同材背板＋远端浅置物架（材料已定，节点待 I-501）,no,confirmed_candidate,no
WFIN-S002,3wU1hhFVz3AvGTchfzAZXl,X,-5189.838994264935,2980.196377076722,3200.19635021475,2fhEbDfK1EkhJwlPikNm$b,中厨,KITCHEN_SLAB_SHELF_SCHEME,VVD Travertino titan marble 同材背板＋远端浅置物架（材料已定，节点待 I-501）,no,confirmed_candidate,no
WFIN-S003,39ssagG3n08RmEGQ8p0HPN,Y,3190.19769668579,-3850.11513233185,-3699.9999999999995,2fhEbDfK1EkhJwlPikNm$b,中厨,KITCHEN_SLAB_SHELF_SCHEME,VVD Travertino titan marble 同材背板＋远端浅置物架（材料已定，节点待 I-501）,no,confirmed_candidate,no
WFIN-S004,39ssagG3n08RmEGQ8p0HPN,Y,3190.19769668579,-3700.0,-1400.1151323318497,3_nZ2R79H1KBJ9M4f8Yxuj,西厨,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S005,1C4RBWOHD2GfB5lt3s1D3q,X,-5790.137022338073,200.1953335194111,3000.195374680371,31dqi6CKf5xBgtPCp1BqUZ,中厨飘窗,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S006,2D_AY5nR96Qf5uU1y3Srzn,Y,2990.195776002234,-5800.139904020404,-5300.0,31dqi6CKf5xBgtPCp1BqUZ,中厨飘窗,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S007,2D_AY5nR96Qf5uU1y3Srzn,Y,2990.195776002234,-5300.0,-5179.838843902336,2fhEbDfK1EkhJwlPikNm$b,中厨,KITCHEN_SLAB_SHELF_SCHEME,VVD Travertino titan marble 同材背板＋远端浅置物架（材料已定，节点待 I-501）,no,confirmed_candidate,no
WFIN-S008,1ctPQ0Vy1A7eZAunjbq1uO,X,-4389.840705289866,-6479.818612736679,-3200.001161499157,3gHz6U6BfFXgV6PnRzfOf$,主卧,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S009,3oAf0JDwfAShSvvBwPp47s,Y,-3210.001019002647,-4399.842464721046,-2997.4155131180833,3gHz6U6BfFXgV6PnRzfOf$,主卧,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S010,2AaE1g$kT9yuXagzwxD3_j,X,-4389.843764305215,-3000.0,-199.99997854393925,3gHz6U6BfFXgV6PnRzfOf$; 2JnxeB$or6D8nffRg7GQbf,主卧; 餐厅,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S011,0JNfRbPBf8TfubVN70o0yr,X,-4989.82623205181,-6499.819497246364,-3399.91191030094,2Ipk_EVoLERRYRYxRXZV5U,主卧飘窗,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S012,16YUCivpTC1gRXeEoBiQST,Y,-3409.9114283873337,-4999.82976896087,-4379.842251222051,2Ipk_EVoLERRYRYxRXZV5U; 3gHz6U6BfFXgV6PnRzfOf$,主卧飘窗; 主卧,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S013,3zt_jFdvz7LQEYlyf51mVi,Y,-2789.999569956816,-4999.826935845893,-4379.631996155366,2Ipk_EVoLERRYRYxRXZV5U; 3gHz6U6BfFXgV6PnRzfOf$,主卧飘窗; 主卧,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S014,0e0XOb$L18ZBVYJiQJrQ1p,Y,-6489.81581170303,-4999.822649207467,0.15878677367986427,2Ipk_EVoLERRYRYxRXZV5U; 3gHz6U6BfFXgV6PnRzfOf$; 3qDKVXWy5FxAT1_mcfnS37,主卧飘窗; 主卧; 主卫干区,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S015,18IhVjmef3XeS3XSkZ_Gax,X,-4989.829626315381,-2800.0,-399.79367256323604,2Ipk_EVoLERRYRYxRXZV5U; 3AlgzRX3jCvPS420cah9Qn,主卧飘窗; 餐厅飘窗,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S016,3bMoS7bIT8wBmjqRvdPunu,X,-7.408878873891904,-4899.899455429726,-1779.899455433628,3qDKVXWy5FxAT1_mcfnS37; 1W_zE37d90uejTDgSPX_vS; 3_0Iqe4h98T8fmNcI7e34S,主卫干区; 主卧入口; 走廊,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S017,3WekjaeUn1qfL6oR1KYD_2,Y,-6489.814972481957,0.41947754844740004,2600.419521331789,3qDKVXWy5FxAT1_mcfnS37; 3a4COIs5X7lgDirMBDT4Vs,主卫干区; 主卫湿区,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S018,1eqCHDNr94wR4H6nt1ZB6F,X,2590.4207357550868,-6080.762122310632,-4900.762081146241,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S019,1ncV5xaxf54BXwzFCse170,Y,-4910.759772255216,102.58650779723766,2580.4195605817804,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S020,235UH42o19pgNtvD2klDXr,X,112.58659164100291,-5020.762103239428,-4920.762062072749,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S021,26PwmC1AX6ZROC65DohUg5,X,112.58696214301918,-6479.811671414935,-6019.811630249019,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S022,0BmtX_5hX1_gzuRyMzZWCj,Y,-5260.767056460911,2580.4202556610094,3200.1600265476095,3a4COIs5X7lgDirMBDT4Vs; 2QIFZrZIr8GQwOQOo0KVFP,主卫湿区; 主卫湿区飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S023,3XHw61QWD8pO_ffygPR1Mn,Y,-6089.813223318652,2600.1617280048595,3200.161774177019,3a4COIs5X7lgDirMBDT4Vs; 2QIFZrZIr8GQwOQOo0KVFP,主卫湿区; 主卫湿区飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S024,2ntxn4aYnB0xQOSuraf1r2,X,2890.2901633168826,-6079.81395721436,-5269.81395721436,2QIFZrZIr8GQwOQOo0KVFP,主卫湿区飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S025,3scRMaGaL4iQ0rggoStviO,X,3190.1609209457793,-6099.812507625355,-5250.766405097149,2QIFZrZIr8GQwOQOo0KVFP,主卫湿区飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S026,1Rer6n0zzDt8foqeHXkkaW,Y,6490.1010894773,302.59609222638016,3179.9533176418004,0XmeOOraz9tP2_CetH7YYh,书房,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S027,2qiNDus8b1E8_iEcJ9_3vy,X,312.59648887767355,5880.098225285592,6500.09819969477,0XmeOOraz9tP2_CetH7YYh,书房,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S028,0e9HFLi6fDsggZSSJA6Gql,Y,4210.105224552018,3179.9552145805333,3799.9443777992797,0XmeOOraz9tP2_CetH7YYh; 31XjLjEb14IRdtHOXVjDVW,书房; 书房飘窗,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S029,0lEIp09tr5ZuFmvjzO7$J1,Y,6090.179244420012,3179.955244064977,3799.9427318572702,0XmeOOraz9tP2_CetH7YYh; 31XjLjEb14IRdtHOXVjDVW,书房; 书房飘窗,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S030,1B31tDdtb44Qsxujotw2IW,X,3789.94273185727,4200.10569629461,6100.17970141985,31XjLjEb14IRdtHOXVjDVW,书房飘窗,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S031,004_$7IRPA9QbtyBuuiKWA,Y,-1788.87447138517,1372.5974600688503,3200.0,3bF9ub5u5FFgmXQtSgfWnW,客卫,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S032,1Lj_LXp3z7tQDMYUGoTsFc,X,1382.5929823514796,-1798.876471914579,-199.82248434216655,3bF9ub5u5FFgmXQtSgfWnW,客卫,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S033,2EYl9Bo4j7oAgy4jRg5sol,X,3190.0016251145344,-1778.8725127307705,-199.82242584228493,3bF9ub5u5FFgmXQtSgfWnW,客卫,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S034,3EeaetpRj9bw3iIk_f4eUG,Y,-209.8203514865075,1372.591357232949,3179.997225911695,3bF9ub5u5FFgmXQtSgfWnW,客卫,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S035,1iSuERIwrCfeGCQ54yF0Kx,Y,-1489.8988878730015,3179.7393933368535,3779.739439509013,3bF9ub5u5FFgmXQtSgfWnW; 3I284j2FzFG9RguqlzYOH2,客卫; 客卫飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S036,1xL$8my_jFu9Ab0a91HUA2,Y,-660.8526475542201,3180.0,3799.7397708893905,3bF9ub5u5FFgmXQtSgfWnW; 3I284j2FzFG9RguqlzYOH2,客卫; 客卫飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S037,3mlT3vP4P1MwwtT7Mb20tc,X,1262.5929992165952,-1799.8975515317004,-199.82159137725986,25Lcecvwn9lg6g3QKgRlJU,客卫干区,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S038,0moBrr1cf5WgtBzqXWKtqn,X,3489.7393384583625,-1480.633614063263,-670.633614063263,3I284j2FzFG9RguqlzYOH2,客卫飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S039,2b31CZPEn5dfZFU1X$lkPc,X,3789.738586277493,-1499.898049041016,-650.851959251099,3I284j2FzFG9RguqlzYOH2,客卫飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S040,1jk9p3i1v2xhSPmLARzMx6,X,3189.95331764221,0.10061264037908302,6500.10061264038,2wgBPVUpv2DvcZCfbe6fdv; 0XmeOOraz9tP2_CetH7YYh,客厅; 书房,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S041,07lGLYz1D67eFJrS1THits,X,3190.157506144252,-4680.010255641541,-1919.8993371228719,0WyQ2Z9pX5qgwfdTOZwAkw,次卧,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S042,1BhRwhm0bEkQ2IBfLxzE6A,X,212.58503249528832,-4700.014649617951,-1919.9039242997253,0WyQ2Z9pX5qgwfdTOZwAkw,次卧,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S043,0W2w5NSMDCUBk0iq3RkfNL,Y,-4690.002666546923,202.5867484559325,3800.149669348717,0WyQ2Z9pX5qgwfdTOZwAkw; 004pVXwHv1W8qavLfulRuQ,次卧; 次卧飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S044,0Zj4PLnNL4cf8r6tIGeEt0,Y,-1909.9013000742339,202.58326193688924,3800.143239247377,0WyQ2Z9pX5qgwfdTOZwAkw; 004pVXwHv1W8qavLfulRuQ,次卧; 次卧飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S045,0G4bJcjUL5NPlY312J9TG9,X,3790.146576040759,-4700.0,-1899.8893022630723,004pVXwHv1W8qavLfulRuQ,次卧飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S046,3UpLXAml9Bufs6wAjUjPJT,Y,5890.103569031531,-1400.1322740577602,322.59685993036004,36NNomu9TDP9xkhh6D2l8K; 0XmeOOraz9tP2_CetH7YYh,玄关; 书房,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S047,3xKTsYjIjFSOwrsDNweAjR,Y,10.181290739898282,-3350.0000301201885,29.99999999616687,3_nZ2R79H1KBJ9M4f8Yxuj; 3_0Iqe4h98T8fmNcI7e34S,西厨; 走廊,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S048,2jK2g2$tb18Qu3jsAzqyh_,X,-10.0,-199.82126355171198,20.178736448288006,3_0Iqe4h98T8fmNcI7e34S,走廊,WHITE_WALL,大白墙,no,confirmed_candidate,no
