covering_global_id,covering_name,effective_predefined_type,current_material,space_global_id,space_long_name,space_match_count,candidate_finish_code,candidate_finish,basis,confidence,review_required,status,formal_ifc_write_allowed
1nl6eDw2H0gwKgR3NLW4h6,Covering,CLADDING,WW20,2fhEbDfK1EkhJwlPikNm$b,中厨,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
3wU1hhFVz3AvGTchfzAZXl,Covering,CLADDING,WW20,2fhEbDfK1EkhJwlPikNm$b,中厨,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
1C4RBWOHD2GfB5lt3s1D3q,Covering,CLADDING,WW20,31dqi6CKf5xBgtPCp1BqUZ,中厨飘窗,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
2D_AY5nR96Qf5uU1y3Srzn,Covering,CLADDING,WW20,31dqi6CKf5xBgtPCp1BqUZ,中厨飘窗,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
0e0XOb$L18ZBVYJiQJrQ1p,Covering,CLADDING,WW20,3gHz6U6BfFXgV6PnRzfOf$,主卧,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
1ctPQ0Vy1A7eZAunjbq1uO,Covering,CLADDING,WW20,3gHz6U6BfFXgV6PnRzfOf$,主卧,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
3oAf0JDwfAShSvvBwPp47s,Covering,CLADDING,WW20,3gHz6U6BfFXgV6PnRzfOf$,主卧,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
3bMoS7bIT8wBmjqRvdPunu,Covering,CLADDING,WW20,1W_zE37d90uejTDgSPX_vS,主卧入口,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
0JNfRbPBf8TfubVN70o0yr,Covering,CLADDING,WW20,2Ipk_EVoLERRYRYxRXZV5U,主卧飘窗,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
16YUCivpTC1gRXeEoBiQST,Covering,CLADDING,WW20,2Ipk_EVoLERRYRYxRXZV5U,主卧飘窗,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
3zt_jFdvz7LQEYlyf51mVi,Covering,CLADDING,WW20,2Ipk_EVoLERRYRYxRXZV5U,主卧飘窗,1,WHITE_WALL,大白墙,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
1eqCHDNr94wR4H6nt1ZB6F,Covering,CLADDING,WW20BR,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,1,TADELAKT,Tadelakt,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
1ncV5xaxf54BXwzFCse170,Covering,CLADDING,WW20BR,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,1,TADELAKT,Tadelakt,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
235UH42o19pgNtvD2klDXr,Covering,CLADDING,WW20BR,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,1,TADELAKT,Tadelakt,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
26PwmC1AX6ZROC65DohUg5,Covering,CLADDING,WW20BR,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,1,TADELAKT,Tadelakt,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
3WekjaeUn1qfL6oR1KYD_2,Covering,CLADDING,WW20BR,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,1,TADELAKT,Tadelakt,用户确认房间级材料规则；饰面世界包围盒中心唯一落入当前 Space 世界包围盒,1.0,no,confirmed_candidate,no
